date,type,header,text,video,photo,Credit_photo/video,coordinates,coordinates_text,map_poly,map_lines,map_points,focus_point,zoom,idToShow
2022-02-24,war,Обстріл аеропорту,"— Близько 09:00 по маріупольському аеропорту почала бити авіація й корабельна артилерія. Полковник, який керував штабом оборони в аеропорту, кудись зник, як і всі “оперативники”, після першого ж обстрілу.

“Редіс” (Денис Прокопенко), якому я доповів, наказав повертати всіх на місця. Я виявив їх надворі в бліндажі, — пригадує Давід Касаткін з ""Азова"". —  Заспокоїв, розповів, що авіація вдарила далеко, а корабельна артилерія не влучила. Повернулися двоє людей. Один з них – хлопець, який відповідав за контроль переміщення суден у морі. Я взяв на себе координацію й командування.
",,,,"47.077161, 37.462718","Маріупольський аеропорт, база оборонців міста",,,,"47.11, 37.57",12,
2022-02-24,war,Відповідальні за оборону зникали один за одним,"Ближче до обіду повернувся полковник. Проте зникла жінка, відповідальна за моніторинг авіапростору. Вона виїхала до Запоріжжя. 
Замість неї нікого не було. Стало зрозуміло, що ми не знатимемо, де висадиться ворожий десант. 
Тому вирішили перекрити дороги на Маріуполь, а також ту, що вела в місто з боку узбережжя до аеропорту. Сподівалися, що в разі висадки зможемо зустріти десант хоча б на його шляху. Нашу роту з 40 бійців розділили навпіл. 
",,,,"47.077161, 37.462719","Маріупольський аеропорт, база оборонців міста","намалювати дорогу, що веде з аеропорту до маріуполя?",,,,,
2022-02-24,war,,"Під вечір полковник переконував відступати до Маріуполя. Але наказу залишати аеропорт не було.
Полковник пішов на перекур і поїхав. Я доповів “Редісу”. Той спочатку не повірив, але хвилин за 20 передзвонив зі словами “Він не повернеться”. 
В аеропорту залишилася документація, ноутбуки й радіостанції. Ми все зібрали й уже за наказом виїхали до Маріуполя.",,,,,,,,,,,
2022-02-24,war,Українці формують окремий батальйон тероборони,"Під керівництвом командира 109-ї ОБрТрО майора Дмитра Стебліна було сформовано окремий батальйон тероборони – 107-й ОБТрО. 24 лютого бійців зібрали в покинутому навчальному закладі на Лівому березі.

– Наступного дня ввечері прийшла команда виїздити до пункту дислокації Нацгвардії, де ми отримали бронежилети та кевларові шоломи, – розповідає Олександр Кінякін, один з новобранців. ",,,,"47.105497, 37.560632",Розташування бази ТРО в Маріуполі у перші дні війни,,,,"47.105497, 37.560632",13,
2022-02-24,war,Ракетний удар по позиціях української ППО,"Неподалік аеропорту, на захід від Маріуполя, росіяни ракетним ударом знищили РЛС 5Н84А ""Оборона"", яка належала 164-й радіотехнічній бригаді ППО (в/ч 2109). Після удару підрозділ евакуювався (найімовірніше — в напрямку Запоріжжя). Також два удари було завдано по позиціях дивізіону 301-го зенітно-ракетного полку. Під час другого удару, о 09:00, загинув сержант Олег Ясковець. 
За словами підполковника 301-ї ЗРП Олександра Даниленка, перший удар було завдано о 05:00, після чого дивізіон почали готувати до евакуації.  Пізніше С-300, що залишала Маріуполь, було помічено на дорозі біля західної межі міста.",,2402rls_ukr2.jpg,,,"Розташування української РЛС, розбитої ворогом,

        
На західній околиці міста помічено систему ППО С300, яка залишала місто",,,,"47.11, 37.57",12,
2022-02-24,war,Ворожий десант,Того самого дня за 70 км на захід від Маріуполя висадився російський морський десант.,,,,"46.83903, 36.94322",Приблизне місце висадки російського десанту,,,,"46.83903, 36.94322",11,
2022-02-24,war,,Близько 30 БТР з трьох десантних кораблів (810 ОБрМП). Однак бойових зіткнень в ними не було.,02_desant.mp4,,,,,,,,"47.11, 37.57",12,
2022-02-24,war,Морський порт. Підготовка до оборони,"У морському порту базувалися кораблі 9-го ДнНК (9-й дивізіон надводних кораблів) та 23-го ЗМО (Маріупольський загін морської оборони): кілька броньованих катерів і прикордонний сторожовий корабель “Донбас” BG-32. 
— Ми патрулювали в морі ще за тиждень до 24 лютого й там зустріли перші обстріли, – згадує Віктор Шапошников, матрос малого броньованого артилерійського катера ""Кременчук"". — Повернулися до порту, замінували фарватер і Нові ворота (один з двох входів до акваторії порту) 160-кілограмовими якірними мінами, нам привезли 32 штуки зі складу в Очакові.

",,,Корабель 9 ДнНК (9 дивізіону надводних кораблів),"47.055475, 37.505733",Морський порт Маріуполя,,,port_points.geojson,"47.11, 37.57",12,
2022-02-24,war,Замінований пляж,"Нацгвардійці замінували пляж ""Піщанка"", що межує з портом. Пізніше приїхали ""азовці"" з БТРом і протитанковими засобами. Разом організували спостережні пункти. 

З ""Донбасу"" зняли кулемети ДШК і встановили їх на позиціях. Передали боєкомплект з гармат катерів екіпажу БТР ""Азов"" (у бойових модулях БТР та катерів встановлено ту саму модель гармати).",,donbas23ZMO_port.jpg,,,,port_poly.geojson,,,,,
2022-02-24,war,Хто був у порту,"У Маріупольському загоні морської охорони з особового складу було 500 –550 осіб, з яких 200 – жінки. 
Зважаючи на те, що найпотужнішою зброєю плавзасобів 23 ЗМО були 30-мм гармати, керівництво загону вирішило відмовитися виходити в море, заповнене ворожими кораблями під прикриттям авіації.
 
З одного катера зняли радіолокаційну станцію (РЛС), яку перенесли до доку й підключили до акумулятора: щоб бачити переміщення ворога в акваторії Азовського моря, дані йшли до штабу оборони міста. 

У порту на 24 лютого перебували також два окремі взводи по семеро бійців (бердянський і маріупольський) протидиверсійного загону (801 ОЗБ ПДСЗ). Маріупольський взвод того дня залишив місто в повному складі, з бердянського залишились двоє осіб.
",,,Кораблі 23 ЗМО (Маріупольського загону морської оборони),"47.055475, 37.505733",Морський порт Маріуполя,port_poly.geojson,,port_points.geojson,"47.11, 37.57",12,
2022-02-25,civil,Порожні евакуаційні поїзди,"Маріуполь ще жив вірою в непереможність української армії. Вісім років містянам розповідали про три лінії оборони, посилений захист, бойові підрозділи з великим досвідом. Мер Маріуполя Вадим Бойченко теж закликав людей зберігати спокій і довіряти військовим. Люди і довіряли. Тому евакуаційні потяги на Західну Україну, які призначила Укрзалізниця, йшли з Маріуполя порожніми. Не користалась попитом і ініціатива «Все буде добре», яка пропонувала маріупольцям допомогу в евакуації.
Містяни воліли залишатись в місті попри вибухи і повітряні тривоги. Хтось вірив російській пропаганді, яка запевняла, ще все це – лише на три дні, а потім буде мир, весна, Росія. Хтось думав, що буде як в 2014 році – постріляють і на околицях міста зупиняться.",,,,,,,,,"47.11, 37.57",12,
2022-02-25,war,Шлях на Маріуполь із заходу відкритий для росіян ,"«На другий день, після захоплення Мелітополя, стала зрозуміла швидкість просування ворога, – каже Богдан Кротевич, майор, начальник штабу ОЗСП «АЗОВ». – Ми очікували висадки на ділянці узбережжя Азовського моря від Маріуполя до Юр’ївки, де ми несли чергування з протидесантної оборони, але її не сталося. 

",,,,,,,,,"47.11, 37.57",11,
2022-02-25,war,Підірвані мости,"Ми зрозуміли, що маємо ще трішки часу. Я зібрав командирів групи розвідки спецпризначення та командирів снайперської групи спецпризначення, щоб спланувати диверсію і зупинити колони, які рухалися у наш бік. Ми планували зустріти їх перед входом до Мангуша – висунулись туди, замінували мости, встановили протитанкові засоби. 

В нас снайперська група спецпризначення та група розвідки спеціального призначення – це два різні підрозділи, але вони вміють все. Це й протитанковий резерв, це й розвідники, це й диверсанти, це й снайпери. Я керував ними безпосередньо на місці, коли командир ОЗСП “АЗОВ” наказав повернутися до Маріуполя. 
Ми підірвали мости біля Мангуша і Старої Ялти та відійшли до міста».",,,,"47.082078, 37.181824

",Підірваний міст поблизу Мангуша,,,,,,
2022-02-25,civil,"Потреби зростають, ресурси тануть","Містяни ринулись в торгові центри і почали скуповувати їжу.
Дуже швидко на полицях не залишилось ніякої тушонки, а потім і все інше тривалого зберігання зникло. Вода, сірники, туалетний папір… Загалом стандартний набір, який люди купують в разі, якщо насувається будь-яка загроза.
Міська влада тим часом почала надолужувати втрачений час, роблячи те, що не зробила напередодні війни: екстрено закуповувала воду і їжу. Все це вигрібалось на складах оптових мегамаркетів і складалося на території КП «Комунальник» та Центрального ринку.

",,,shop_25.02.jpeg,,,,,,"47.101955482872434, 37.502292687150955",12,
2022-02-25,civil,"Волонтерський хаб у ""Халабуді""","Центром громадської активності став вільний простір «Халабуда», який очолює Дмитро Чичера. Десятки людей приїздили туди і пропонували допомогу. Справ було дуже багато. Допомога пораненим, евакуація родин зі Східного, Сартани. Забезпечення потреб територіальної оборони.
За підтримки муніципалітету почали готувати коктейлі Молотова. Готуватись до захисту міста.
Все змінювалося стрімко.",,,,"47.10136, 37.55051","Вільний простір ""Халабуда"" став волонтерським хабом",,,,,,
2022-02-26,civil,Десятки поранених цивільних,"26 лютого Маріуполь мав уже 58 поранених цивільних. Даних по пораненим військовим навіть ніхто не оприлюднював.
Лікарні не встигали оперувати. Скасували усі планові операції. Поліклініки перетворювались на стаціонари.
Ситуація ставала критичною. Через обстріли то тут, то там зникало світло. Комунальні служби намагались оперативно ремонтувати, відновлювати, але обстріли посилювались, і робити це ставало все складніше.
",,,,,,,,,"47.11, 37.57",12,
2022-02-26,civil,Патрулі тероборони в центрі,"
Приблизно тридцять тероборонців патрулює перехрестя проспектів Миру та Металургів (центральне перехрестя міста).
- Вдень ми просили перехожих обережно переходити через дорогу (підземний перехід було закрито), а вночі зупиняли порушників комендантської години, перевіряючи документи та телефони, - розповідає Олександр Кінякін, один з бійців тероборони.  - Затримали чоловіка із фотографіями військових об’єктів у телефоні, і ще одного, який був корегувальником – у його телефоні залишилась переписка із куратором. Їх передали патрульним. Кілька разів приїздили морпіхи і патрульні - щоб запобігти мародерству.
Підходили маріупольці, приносили шоколадки, їжу, телефонні картки, просили триматись. Один хлопець приніс каструлю борщу. Його вилили під ялинку, був наказ вживати виключно фабричну запаковану їжу.",,,,,,,,,,,
2022-02-26,war,Усвідомлення майбутнього оточення,"26 лютого штабу оборони міста стає зрозуміло, що доведеться 
вести бої у повному оточенні. Зранку командир ОЗСП «АЗОВ» 
Денис Прокопенко записує відеозвернення, у якому обіцяє 
знищувати росіян: “Полк “АЗОВ” разом із Збройними силами 
України, Нацгвардією та іншими силовими структурами 
надійно обороняє місто Маріуполь. Ми будемо битися до останньої 
краплі крові.”",2602_redis.mp4,,,,,walls_poly.geojson,walls_line.geojson,,"47.11, 37.57",11,
2022-02-26,civil,Хліб закінчився,"Тим часом в магазинах різко підскочили ціни на хліб. А все через борошно, яке з 24 лютого у місто ніхто не завозив. На деякі сорти хліба ціни підскочили до 100 грн за кг. Владі та силовим структурам довелось досить жорстко розмовляти з власниками торгових центрів, щоб стримати ціни.
Але це допомогло ненадовго. Бо з’ясувалось, що хліб просто вже нема з чого випікати. І тоді на допомогу прийшла компанія «Харвист», яка віддала свої запаси зерна місту. Треба було швидко шукати можливості то зерно перемолоти. Волонтери взялись за зовсім незвичну для себе справу – випікати хліб. «Де взяти дріжджі?» - ось такий незвичний заклик лунав в той час соцмережами. Без дріжджів хліб виходив плоский і не дуже смачний. Та для багатьох людей, яких той хліб рятував від голоду, він був, мабуть, найсмачнішим в житті.",,2602_0629.jpg,Вартість хліба в одному з маріупольських магазинів у перші дні війни,,,,,,"47.11, 37.57",12,
2022-02-26,war,Кільце звужується,"Тривають артобстріли міста та навколишніх сіл - двічі обстріляно Сартану.  Морпіхи під вогнем відходять з Павлополя та Піщовика, зупинившись у селищі Гнутове (10 км до міста), але набагато гірші наслідки для гарнізону мав прорив ворогом лінії оборони ЗСУ біля селища Анадоль.",,,,,,proryv_poly.geojson,proryv_arrow.geojson,proryv_points.geojson,"47.11, 37.57",11,
2022-02-26,civil,Авіаудари по Сартані. Усвідомлення катастрофи,"Окрім хліба, постала проблема, куди розселяти мешканців Сартани. Починаючи з 24 лютого, щодня в селище навідувався російський винищувач. Спочатку він був дуже обережним. Скине бомбу і тікає до Єйську. Але коли зрозумів, що ніякого ППО над Маріуполем немає, і авіації немає, став страшним господарем маріупольського неба. Спочатку знищив Сартану, а потім став літати на місто.
Від Сартани мало що залишилось вже у перші дні війни. І люди, яким пощастило вижити в тій страшні м’ясорубці, не мали, де притулитись. Їх розселяли в Маріуполі. І це теж виклик, бо місто, як і країна не готувалось до такого розвитку подій.
Але дуже скоро стало зрозуміло, що і в Маріуполі немає безпечного місця, де можна було б укритись.",,,,,,,,,"47.11, 37.57",12,
2022-02-26,war,"""Азовці"" знищують ворожу техніку","Підрозділ ОЗСП «АЗОВ» під керівництвом Кирило Беркаля «Кірта» знищує три БМП-3 на в’їзді до міста, навпроти заводу «Ілліча».",03_AZOV_BMP3.mp4,,,"47.219131, 37.531525",,districts.geojson,,,"47.11, 37.57",12,1
2022-02-26,civil,Мародерство,"Приблизно 26 лютого містом стали поширюватись чутки, що з торгового центру «Метро» і «ПортСіті» виїхало керівництво, що центри відкриті, і можна приходити брати що завгодно. Почалося мародерство. Люди потягнулись туди, але на вході їх зустріла патрульна поліція. Вони відкрили вогонь у повітря, попередили, що будуть стріляти на ураження згідно до закону про воєнний стан. І натовп розбігся хто куди. Але через декілька годин люди повернулись знову. Виставляти ж охорону на постійній основі біля кожного магазину у патрульки вже не могла. 
Тож в місті почався грабіж. Спочатку люди брали тільки їжу, але дуже швидко стали гребти телевізори, сумки, телефони, годинники, навіть чохли для телефонів – все. Дуже швидко «ПортСіті» виглядав розбомбленим ще до бомбардування. Дивно було дивитись на людей, що тягнули до дому телевізор, яким так і не змогли скористатись – зникла електрика.",,"2shop_25.02.jpg



","Порожні полиці у хлібному відділі одному з маріупольських магазинів. Фото: Радіо ""Свобода""",,,,,,"47.11, 37.57",12,
2022-02-26,war,Ворог наближається з заходу,"Велику колону росіян помічено вже у Селищі Осипенко, на відстані 60 км від Маріуполя.",,,,"46.938539, 36.831261",,,,,"47.11, 37.57",11,
2022-02-26,war,,Про це свідчать очевидці.,2602_berdroad.mp4,,,"46.938539, 36.831261",,,,,"47.11, 37.57",12,
2022-02-27,civil,Місто зачиняється. Страх і порожнеча,"Місцеві жителі, що намагалися вирватись з міста, зустрічали на дорогах за містом вже російську, а не українську військову техніку. Дехто потрапив під обстріли. Ставало зрозуміло, що місто зачиняється.
Страх ширився Маріуполем, а разом з ним – відчуття порожнечі. В цей час в місті вже не було підрозділів Національної поліції, СБУ, судів. Ситуацію в місті контролювали військові, невеликі сили патрульної поліції та комунальні служби. Мер міста Вадим Бойченко виїхав з Маріуполя і керував із створеного в Запоріжжі штабу. У місті працював його заступник Михайло Когут. Але в останні дні лютого було все складніше бодай щось контролювати.
Кількість обстрілів збільшувалась. Ворог накривав артилерійським вогнем не окремі квартали на околицях, а фактично всі райони Маріуполя. Магазини спорожніли. Ті, хто 24 лютого не стояли в чергах за їжею, тепер про це сильно пошкодували.   

Пожежники продовжують їздити містом і гасити полум'я в будинках. Проте їхня робота через постійне зростання кількості обстрілів стає смертельно небезпечною, снаряди рвуться поруч із пожежними машинами. ",empty_stores.mp4,,,,,,,,"47.11, 37.57",12,
2022-02-27,war,Росіяни наступають зі сходу і заходу,"27 лютого Сартана, Старий Крим, Гнутово захоплені російською армією. А з іншого боку Маріуполя тривали бої за Волноваху. В Мангуш після нетривалих обстрілів увійшли російські війська, це в 10 км від Маріуполя. 

Вночі ДРГ ОЗСП “АЗОВ” підриває техніку росіян в районі об’їзної дороги Мелітополя. 

",,,,,,тут би стрілками показати шляхи наступів чи полігони із захопленими місцями ,,,"47.11, 37.57",12,
2022-02-27,war,Чотири КрАЗи боєприпасів,"Було очевидно, що боєприпасів не вистачить, щоб тримати облогу, тому ""азовці"" відправляють чотири КрАЗи за підтримки снайперської групи спецпризначення до Розівки (Запорізька область, 50 км на північний схід від Маріуполя), на склади сектору Південь. 

«Там був величезний склад з боєкомплектом на випадок війни, – розповідає Сергій Цісарук «Мольфар», начальник зв’язку «АЗОВу». – Але все треба було вантажити вручну. Артилеристи поїхали до Розівки під прикриттям снайперської групи. Вже на виїзді зіткнулися з передовою групою противника."" 
Машинам вдалось повернутися до Маріуполя буквально в останню мить перед заходом ворога. Це був останній боєкомплект, завезений до Маріуполя. Чотири КрАЗи. Їх вистачило на пів години бою. А в місті жодних складів не було. ",,,,,,,,,,,
2022-02-27,civil,Евакуація поранених,"Вдень 27 лютого на перехрестя проспекту Бойка та вулиці Карпінського прилетіли кілька гелікоптерів Мі-8, які евакуювали поранених цивільних та військових. ",,,,"47.140719, 37.563207","Перехрестя проспекту Бойка та вулиці Карпінського, звідки відбувалася евакуація",,,,"47.11, 37.57",12,
2022-02-27,civil,,"Цей епізод став відомим завдяки відео парамедикині Юлії Паєвської ( “Тайри”), яка пізніше потрапила у полон, але встигла передати журналістам картку із матеріалом.",2702_taira.mov,,,,,,,,"47.11, 37.57",12,
2022-02-27,civil,Смерть дитини ,"В міській лікарні помирає 6-річна дівчинка, що отримала смертельні поранення внаслідок російських артилерійських обстрілів.  ",,2702_divchynka.jpg,Фото Євгена Малолєтки,"47.1111, 37.51175","Міська лікарня, де померла від поранень 6-річна дівчинка",,,,"47.11, 37.57",12,
2022-02-27,war,Бій на аглофабриці,"З боку селища Анадоль на півночі наближаються російські танки. 
“До знаку “Сталевар” навпроти аглофабрики заводу “Ілліча” під’їхали російські Т-80 і зупинились, – розповідає Кирило Беркаль «Кірт», із ОЗСП “АЗОВ”. – Наші снайпери відігнали екіпажі, намагалися ті танки знищити, але в нас було лише два несправні танки, які хлопці якось полагодили та завели. Ворога хіба трохи злякали. Він зупинився.
",,2602_aglo.jpg,,"47.203808, 37.539277",,,,,"47.11, 37.57",11,
,war,,"Вночі до “похмурої” фортеці аглофабрики під’їхала величезна кількість ворожої техніки, в мене було враження, що там зібралась вся 150 МСД. Але в атаку не пішли, почасти тому, що ми замінували підходи.
Правда, в нас було лише 10 бойових протитанкових мін і ще з чотири десятки учбових, які ми змогли знайти на складах, а потім рендомно змішали з бойовими. Ворог, провівши аеророзвідку, знаючи про втрату своїх БМП та про наявність у нас танків, спрямував основні сили в обхід через Старий Крим, а Македонівку зайняв батальон “ДНР”. Це ми вже потім дізнались по картах, які знайшли у вбитого російського генерала (заступник командувача 41-ї загальновійськової армії Центрального військового округу генерал-майора Андрія Суховецького знищили піхотинці ОЗСП “АЗОВ” на території аглофабрики 28 лютого).",,2602_aglo.jpg,,,,,,,,,
2022-02-28,civil,Зникнення світла й води,"

28 лютого Маріуполь залишився без світла. Разом зі світлом зникла і вода. Російська армія перебила високовольтні лінії, енерговходи у місто. Діяла чітко по координатах. Зараз Служба безпеки України почала називати імена людей, які коригували російський ворожий вогонь. А тоді всі шукали диверсійні групи, полювали на тих, хто залишає мітки для наведення арти і сподівались, що це вбереже їхні будинки.",,,,,,,,,"47.11, 37.57",11,
2022-02-28,war,Обстріли з Тополиного,"В першій половині дня танк та три БТР росіян пройшли від Кременівки до об’їзної дороги Нікольського, однак в Нікольське, де базувався підрозділ Сил оборони, ворог не заходить, трасу Маріуполь - Запоріжжя не блокує, сховавшись у яру поблизу селища Тополине.
Ввечері до Тополиного з боку Кременівки заходить колона з десятків одиниць техніки - танків, БТР, вантажівок, самохідної артилерії та БМ-21 Град. Артилерія розсереджується по посадках безпосередньо поруч із селом і на світанку 1 березня починає обстрілювати Маріуполь - протягом наступного місяця залпи з Тополиного починались приблизно о 6 ранку і не вщухали до темряви.",,,,"47.226017, 37.363861",,topolyne_poly.geojson,topolyne_arrows.geojson,topolyne_points.geojson,"47.11, 37.57",11,
2022-02-28,war,Блокпост у Гнутовому,"Ворог проходить Гнутове, але зупиняється перед Сартаною, де українці підірвали автомобільний міст через Кальміус. 
Кирило «Лірік», командир взводу морпіхів (36 ОБрМП) розповідає, про те, як залишили Гнутове:
«Був один момент, коли ми стояли у Гнутовому. Мені зараз сумно, що тоді не прийняв рішення самостійно. Мене поставили дивитися в якесь поле, а дорогу толком ніхто не перекрив. Кажу: «Давайте поставимо мій БТР до дороги, щоб ми її проглядали». На що мені відповіли: «Ні, стій у полі, дивись у поле».
",,,,"47.242072, 37.790898",Блокпост у Гнутовому,,,,"47.11, 37.57",12,
2022-03-01,war,"""Спостерігай!""","Вранці, коли почалась артпідготовка, мене із групою відправили до дороги, глянути, що там відбувається. Біля дороги ми в 400 метрах побачили більше десятка росіян, які йшли зі зброєю на грудях. 
Передаю командиру, у відповідь знову: «Ну добре, спостерігай». Навіть після доповіді про те, що їде перша дозорна БМП росіян, і потім ще три, дозволу застосувати десант і БТР я не отримав. Пізніше це «добре, спостерігай» стало локальним мемом нашої оборонної операції”. 
",hnutove.mp4,,,,,,,,,,
2022-03-01,war,Втрачений шанс,"Підрозділ “Ліріка” мав команду підірвати міст, але це не вдалося – відсиріли запали у боєприпасів.
Потім вони отримали команду триматися, доки прийде підмога, але її не дочекалися. Врешті їм довелося відступити.
“Лірік” впевнений, що мав шанси знищити мінімум два ворожих БМП, можливо, навіть відбити атаку, якби прийняв рішення самостійно, виходячи із ситуації.
“Але це не камінь в чийсь город, – додає він. – Просто ситуацію була дуже складною, люди не встигали приймати рішення”.",2802_gnutove.MOV,,,,,,,,,,
2022-02-28,war,Українські бійці залишають Гнутове,"Дорогою вони втратили три танки, один БТР, одну БМП. Два танки просто на дорозі у Гнутовому підбили пострілами у задню частину. Ще один танк залишився стояти в десяти метрах від дороги. Фото і відео з цими машинами опублікували майже всі російські пропагандисти.",,,Підбиті українські танки поблизу Гнутового,"47.212800, 37.754399
",,,,,"47.11, 37.57",12,
